CM000126.1	Genbank	gene	X18113	X20165	.	X.	..1	gene_id..OsI_00001...transcript_id.....gbkey..Gene...gene_biotype..protein_coding...locus_tag..OsI_00001...partial..true..	logFC	logCPM	F	PValue	FDR
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.10025003336497	4.10326270089098	2025.68730655679	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.0638502178076	3.64501902475227	1541.26606952944	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	6.04844295271256	4.20547255256878	2319.56695759584	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.01967101328671	3.77645593913243	1664.83789650712	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.00970624079068	4.03711415948883	1930.13510556876	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.00406017561536	4.33730328344617	2284.48271804196	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.99964559840784	6.61647109291951	5192.66925444569	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.99918792098717	3.85308132069803	1736.03135493102	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.97108427011786	4.03674363345304	1919.81431325096	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.96182641042314	4.39347300030754	2342.72433263964	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.95570779586335	8.17141044321722	7224.96207089147	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.95191687051347	3.90171177215641	1941.46693520332	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.95117856735356	5.33012439208863	3720.70733312008	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.94955236095463	3.50001176308182	1530.86585243004	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.94311250168763	9.27761685442482	8366.89600056393	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.93247079207949	3.82984960909195	1700.70632517042	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.92599025884147	3.759697443602	1630.97965617044	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.92159322943477	5.19684428523996	3318.30873299394	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.92029664410361	4.18924292624118	2262.67032748841	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.91106524385675	4.146481151627	2030.6758167829	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.88230194311765	5.38397680916025	3528.50230262658	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.8751925216109	5.97540217192324	4285.5939155739	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.86741478806888	4.63951161005782	2602.51441217963	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.86233794159214	4.81915037416744	2810.11053253311	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.86033023438777	5.00250593791567	3039.07106574603	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.85669813978105	4.64269615068582	2601.33106985263	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.85162453153873	7.1776003658927	5771.36870770184	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.83421026244303	3.66942532545009	1526.97805233314	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.83196672834274	5.91724888138331	4182.47655976286	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.83065032494571	6.62736040156	5257.02149920296	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.82628301295015	9.13461052522614	8075.79678935993	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.82596341254545	9.29732535903944	8250.14771036275	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.79936973879361	6.04705941463293	4318.08244502224	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.79645051883772	3.70669195961782	1552.91999290286	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.7713204736287	6.03328522847514	4280.85534794433	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.76590119140817	5.20212863566597	3253.47375949809	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.75443967319908	3.6922005163318	1678.22420213618	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.74860173006048	4.53448010805845	2445.02225897918	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.74734713871981	4.85610392762741	2811.25340813084	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.74469007085268	5.38282710387992	3454.67325849797	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.7363867169569	4.51087054530249	2415.51685658107	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.72271180327273	5.07888169317077	3073.58051906946	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.68981838433315	5.46083588247764	3519.17467579407	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.67907312520359	5.11418594569652	3098.23743718897	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.67257611812371	4.75887981319682	2664.60568637757	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.66610798731036	5.14649453346094	3337.84804957033	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.65913372393012	6.47465817370683	4909.79143795455	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.65734500551143	6.7446441359048	5041.78113896741	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.63697609367521	4.61729261415319	2684.40821243797	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.62409857876079	4.25399072295019	2074.29895643741	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.62272533104728	6.7360653385813	4998.07761674937	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.61948300012691	3.90255137801283	1854.60420222968	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.61750879685309	3.91834653912812	1715.07025096173	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.61655802287621	8.19480202837905	6732.31651436397	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.61454145319767	8.44071318667193	6976.70082949413	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.60687112232217	7.59138612100498	5963.29618943428	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.598611223951	4.32922924517414	2156.03694087802	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.58984808620833	4.9342417931608	2836.80234853236	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.58560100338181	4.9627293899734	3066.53249836669	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.57164113927955	5.8516536892239	3919.55356734123	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.55055051013313	5.03086558134887	2937.08811859888	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.53650281793126	4.77241014314732	2625.3927250586	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.53436927822317	4.63428413080685	2478.41706244791	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.52574580224938	3.75729330011298	1545.70454146735	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.50675924043665	4.74241593498382	2582.4127718768	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.50321914023583	4.75636089352677	2596.68693555915	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.49088189896527	3.7886471797785	1567.3952783245	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.48822577024183	4.56434815862065	2384.7269536456	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.4875313811356	3.8746233506441	1642.62457132925	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.48403740267569	5.05579633124904	2933.27668407474	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.48279192188745	8.89595978311528	7124.43732685742	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.46071217173921	10.2037248024487	8406.37967028839	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.45199630054645	5.48433031022788	3406.99992733738	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.45181835434511	9.06018401614514	7233.26869099026	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.45161402877276	4.5114994032568	2314.95222616764	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.42887555325885	3.81368892088513	1715.41263259882	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.42538347480506	6.73863177903105	4966.81044555834	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.42084970218972	4.09838177600026	1844.94866430532	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.41964686561002	8.91739692568202	7034.78139025825	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.41801640569221	6.64680362479944	4683.6967314728	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.41716979032589	5.62999556122256	3552.47083778116	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.41446980855973	7.72856850914977	5810.73455505903	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.40819829623685	4.1598784799267	1906.94808583587	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.40653525552291	5.837629568826	3789.62313394652	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.39602190268773	5.32660476359416	3384.5766646328	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.37787705201096	9.16601288998247	7198.96245631891	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.36534334230669	4.40646266218667	2338.85807360536	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.35828234823076	7.38741625275193	5564.19143970363	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.354660180063	4.22487583779487	1960.91733008297	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.34511549699512	4.40284212371341	2158.4012775567	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.34211823766913	7.71084697284656	5731.77168227788	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.32873183006988	4.4391572107196	2193.44950249564	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.3269016144347	3.74691962092711	1492.03599803911	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.32145855461238	3.84452338358613	1576.92892383213	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.31373143278791	5.43782972227887	3270.90119368751	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.31371159331038	3.64314212411339	1522.0789713339	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.31158557382413	3.96166251877289	1681.26577529492	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.31047181096936	5.3859056690775	3209.96911926853	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.31029190974328	7.19447384406416	5173.07734156836	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.29789054926581	6.43357667988484	4350.76010021316	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.2945729232213	5.63591160456094	3654.90330351977	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.29315509955066	6.09344515343643	3976.86997367976	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.29312905880575	4.22887330475489	1947.11585924117	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.29285881874684	7.05375469520733	5004.31102636323	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.27919468196273	5.48040936035151	3473.07449919926	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.26993764234847	10.4215797460952	8139.33860124735	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.26082339884401	5.15321104692121	2931.40464448163	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.26038482731546	10.5087911928235	8221.01477275574	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.25920959545643	7.57743993533375	5493.94694571413	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	5.25505386899702	8.58253092806914	6502.93250724608	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.25074523487234	4.1930801940669	1893.32161644147	0	0
